Date,Open,High,Low,Close,Adj Close,Volume
2019-12-09,99.720001,102.290001,99.589996,100.570000,100.570000,4898816
2019-12-10,100.980003,103.529999,100.230003,103.360001,103.360001,6826946
2019-12-11,103.129997,106.449997,103.050003,106.260002,106.260002,5963668
2019-12-13,106.589996,110.690002,106.550003,110.209999,110.209999,9207041
2019-12-16,110.480003,114.290001,109.709999,113.900002,113.900002,10208099
2019-12-17,114.230003,116.879997,113.309998,116.599998,116.599998,12171825
2019-12-18,116.000000,117.379997,115.570000,116.519997,116.519997,18645218
2019-12-19,116.790001,116.790001,110.809998,111.099998,111.099998,9324385
2019-12-20,111.489998,112.610001,108.500000,108.730003,108.730003,13731457
2019-12-23,109.580002,110.589996,108.930000,110.360001,110.360001,3322623
2019-12-24,110.559998,110.559998,109.900002,110.199997,110.199997,199186
2019-12-26,110.199997,110.250000,109.019997,109.629997,109.629997,1578209
2019-12-27,109.980003,110.070000,108.519997,108.919998,108.919998,3020807
2019-12-30,109.690002,109.690002,103.510002,105.000000,105.000000,2621763
2019-12-31,105.000000,105.000000,105.000000,105.000000,105.000000,0
2020-01-02,106.389999,109.989998,106.330002,109.660004,109.660004,1980815
2020-01-03,109.010002,111.080002,108.610001,109.959999,109.959999,2689637
2020-01-06,109.309998,110.220001,108.610001,110.080002,110.080002,3199855
2020-01-07,110.150002,110.389999,106.510002,106.879997,106.879997,3763805
2020-01-08,106.870003,109.500000,106.760002,108.779999,108.779999,5920884
2020-01-09,109.389999,113.150002,109.389999,112.870003,112.870003,8701320
2020-01-10,112.529999,113.370003,109.709999,109.949997,109.949997,7899008
2020-01-13,110.059998,110.540001,108.769997,109.989998,109.989998,3922758
2020-01-14,109.910004,110.489998,107.930000,108.980003,108.980003,5273865
2020-01-15,108.209999,111.190002,107.209999,107.870003,107.870003,10360872
2020-01-16,108.400002,111.400002,107.500000,111.040001,111.040001,6088512
2020-01-17,111.489998,113.199997,111.339996,112.730003,112.730003,5338596
2020-01-20,112.449997,113.889999,111.809998,113.419998,113.419998,1796551
2020-01-21,113.019997,113.760002,111.910004,113.209999,113.209999,6378915
2020-01-22,113.489998,114.599998,113.449997,114.220001,114.220001,6133168
2020-01-23,113.519997,113.690002,112.029999,113.449997,113.449997,11680949
2020-01-24,112.739998,114.709999,112.019997,114.150002,114.150002,6747751
2020-01-27,114.150002,114.150002,112.900002,113.404999,113.404999,8111369
2020-01-28,113.500000,113.790001,113.000000,113.500000,113.500000,5708413
2020-01-29,113.790001,116.000000,113.349998,115.699997,115.699997,6849034
2020-01-30,116.000000,116.589996,114.910004,116.010002,116.010002,11602662
2020-01-31,116.389999,116.589996,115.209999,116.129997,116.129997,17513274
2020-02-04,117.010002,118.610001,115.209999,116.355003,116.355003,9608897
2020-02-05,117.089996,117.489998,115.910004,116.070000,116.070000,5188403
2020-02-06,116.589996,116.889999,115.709999,116.160004,116.160004,10149463
2020-02-07,115.900002,116.080002,113.019997,113.989998,113.989998,7255909
2020-02-10,113.980003,114.169998,112.010002,114.129997,114.129997,4017705
2020-02-11,114.290001,118.320000,114.290001,115.330002,115.330002,5360765
2020-02-12,115.290001,117.570000,115.059998,116.790001,116.790001,5814496
2020-02-13,117.000000,117.379997,114.650002,116.029999,116.029999,3785437
2020-02-14,116.209999,116.300003,114.559998,114.959999,114.959999,4575576
2020-02-17,115.290001,117.050003,115.190002,116.889999,116.889999,404145
2020-02-18,116.410004,116.540001,115.610001,115.959999,115.959999,3345121
2020-02-19,116.290001,116.989998,115.639999,116.540001,116.540001,6205631
2020-02-20,116.250000,117.180000,115.000000,116.089996,116.089996,6117744
2020-02-21,116.059998,116.089996,115.010002,115.320000,115.320000,2984250
2020-02-24,114.610001,115.500000,111.059998,112.910004,112.910004,8543520
2020-02-25,113.199997,113.430000,111.910004,112.589996,112.589996,5561178
2020-02-26,113.000000,113.029999,111.809998,112.339996,112.339996,7989293
2020-02-27,111.809998,111.809998,106.099998,108.580002,108.580002,9321511
2020-02-28,107.709999,108.050003,103.000000,106.639999,106.639999,12921445
2020-03-02,106.900002,112.430000,106.900002,111.769997,111.769997,8655890
2020-03-03,112.089996,114.290001,110.029999,111.010002,111.010002,7705976
2020-03-04,111.589996,112.790001,111.580002,112.370003,112.370003,4355570
2020-03-05,112.099998,112.099998,105.500000,106.589996,106.589996,5977105
2020-03-06,105.699997,105.699997,100.699997,102.440002,102.440002,8697554
2020-03-09,99.980003,99.980003,92.410004,92.910004,92.910004,9428649
2020-03-10,93.790001,95.290001,92.410004,94.809998,94.809998,9617926
2020-03-11,94.309998,94.309998,89.199997,90.029999,90.029999,13448742
2020-03-12,88.500000,89.970001,77.660004,85.410004,85.410004,17111706
2020-03-13,88.099998,92.290001,88.099998,90.980003,90.980003,16530090
2020-03-17,85.000000,86.500000,77.000000,78.739998,78.739998,20961076
2020-03-18,76.309998,76.500000,73.110001,73.320000,73.320000,10841327
2020-03-19,73.500000,73.500000,66.040001,70.300003,70.300003,15039047
2020-03-20,70.400002,71.589996,66.250000,66.250000,66.250000,21831976
2020-03-23,66.239998,66.989998,60.000000,64.440002,64.440002,11048870
2020-03-24,67.000000,70.430000,66.989998,69.400002,69.400002,13665014
2020-03-25,69.989998,76.389999,69.519997,72.750000,72.750000,9054087
2020-03-26,72.570000,76.410004,71.010002,71.379997,71.379997,11481545
2020-03-27,68.919998,68.919998,62.779999,63.139999,63.139999,17720073
2020-03-30,63.900002,64.470001,63.130001,64.160004,64.160004,7758815
2020-03-31,64.239998,68.139999,64.000000,65.000000,65.000000,11433898
2020-04-01,63.009998,65.290001,60.000000,60.599998,60.599998,20855880
2020-04-02,60.740002,63.959999,60.740002,62.520000,62.520000,16326774
2020-04-03,62.619999,64.500000,60.290001,61.529999,61.529999,8603811
2020-04-06,62.889999,68.260002,62.830002,66.699997,66.699997,11584473
2020-04-07,67.400002,70.389999,66.099998,66.739998,66.739998,8563013
2020-04-08,67.589996,67.809998,66.559998,67.160004,67.160004,20229471
2020-04-13,67.489998,67.790001,66.209999,66.669998,66.669998,22404021
2020-04-14,67.000000,67.489998,63.209999,64.449997,64.449997,8965119
2020-04-15,63.810001,64.000000,59.410000,59.610001,59.610001,16067198
2020-04-16,59.000000,61.970001,58.009998,59.919998,59.919998,15607618
2020-04-17,60.689999,64.500000,60.689999,63.470001,63.470001,10770160
2020-04-20,62.700001,64.489998,61.160000,61.490002,61.490002,8726907
2020-04-21,61.230000,61.310001,59.049999,59.549999,59.549999,9544882
2020-04-22,60.090000,61.259998,60.000000,60.660000,60.660000,9838387
2020-04-23,60.889999,61.490002,58.849998,59.070000,59.070000,6758927
2020-04-24,59.990002,61.389999,59.099998,61.119999,61.119999,17089418
2020-04-27,61.689999,62.939999,60.340000,61.730000,61.730000,11201264
2020-04-28,61.750000,64.800003,61.750000,63.259998,63.259998,22761738
2020-04-29,63.619999,66.290001,63.599998,66.010002,66.010002,14486862
2020-04-30,65.809998,66.120003,64.709999,65.910004,65.910004,10853555
2020-05-04,65.500000,67.900002,63.400002,67.720001,67.720001,9551205
2020-05-05,67.720001,70.019997,67.720001,68.559998,68.559998,9306464
2020-05-06,68.919998,69.690002,67.889999,68.639999,68.639999,7285267
2020-05-07,69.419998,70.570000,68.449997,70.349998,70.349998,6645326
2020-05-08,70.739998,76.180000,70.739998,75.639999,75.639999,8224897
2020-05-11,75.510002,77.029999,73.709999,76.260002,76.260002,7513013
2020-05-12,76.050003,76.989998,72.599998,72.849998,72.849998,10508745
2020-05-13,72.309998,72.589996,69.139999,69.459999,69.459999,7237809
2020-05-14,69.000000,70.690002,67.059998,70.080002,70.080002,7168238
2020-05-15,69.809998,70.080002,67.110001,67.480003,67.480003,7030826
2020-05-18,68.500000,69.500000,68.500000,69.029999,69.029999,9807104
